calendarID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,startDate,endDate
478,1,1,1,1,1,0,0,20240107,20250106
477,0,0,0,0,0,1,0,20240107,20250106
495,0,0,0,0,0,0,0,20240114,20250211
498,1,1,1,1,1,0,0,20240114,20250211
497,0,0,0,0,0,1,0,20240114,20250211
496,0,0,0,0,0,0,1,20240114,20250211
440,0,0,0,0,0,1,0,20240102,20250211
443,1,1,1,1,1,0,0,20240102,20250211
444,1,1,1,1,1,0,0,20240102,20250211
264,0,0,0,0,0,0,1,20230205,20240416
266,1,1,1,1,1,0,0,20230205,20240416
265,0,0,0,0,0,1,0,20230205,20240416
548,0,0,0,0,0,0,0,20240218,20250217
554,1,1,1,1,1,0,0,20240218,20250217
550,0,0,0,0,0,1,0,20240218,20250217
549,0,0,0,0,0,0,1,20240218,20250217
446,0,0,0,0,0,0,0,20240106,20240217
453,1,1,1,1,1,0,0,20240106,20240217
448,0,0,0,0,0,1,0,20240106,20240217
447,0,0,0,0,0,0,1,20240106,20240217
319,1,1,1,1,1,0,0,20230723,20240722
320,1,1,1,1,1,0,0,20230723,20240722
455,0,0,0,0,0,0,0,20240106,20250211
461,1,1,1,1,1,0,0,20240106,20250211
458,0,0,0,0,1,0,0,20240106,20250211
459,1,1,1,1,0,0,0,20240106,20250211
457,0,0,0,0,0,1,0,20240106,20250211
456,0,0,0,0,0,0,1,20240106,20250211
499,0,0,0,0,0,0,0,20240118,20250211
501,0,0,0,0,0,1,0,20240118,20250211
500,0,0,0,0,0,0,1,20240118,20250211
502,1,1,1,1,1,0,0,20240118,20250211
513,1,1,1,1,1,0,0,20240210,20250211
449,0,0,0,0,1,0,0,20240106,20240217
450,1,1,1,1,0,0,0,20240106,20240217
225,0,0,0,0,0,0,1,20221106,20240703
229,1,1,1,1,1,0,0,20221106,20240703
227,1,1,1,1,1,0,0,20221106,20240703
228,1,1,1,1,1,0,0,20221106,20240703
226,0,0,0,0,0,1,0,20221106,20240703
551,0,0,0,0,1,0,0,20240218,20250217
552,1,1,1,1,0,0,0,20240218,20250217
481,0,0,0,0,0,0,0,20240107,20250211
487,1,1,1,1,1,0,0,20240107,20250211
483,0,0,0,0,0,1,0,20240107,20250211
482,0,0,0,0,0,0,1,20240107,20250211
506,1,1,1,1,1,0,0,20240121,20250211
505,0,0,0,0,0,1,0,20240121,20250211
460,1,1,1,1,1,0,0,20240106,20250211
296,0,0,0,0,0,0,1,20230528,20240625
299,1,1,1,1,1,0,0,20230528,20240625
298,1,1,1,1,1,0,0,20230528,20240625
297,0,0,0,0,0,1,0,20230528,20240625
382,0,0,0,0,0,0,0,20231030,20250211
383,0,0,0,0,0,0,1,20231030,20250211
386,1,1,1,1,1,0,0,20231030,20250211
